ID,Path,Category,SubCategory,Location,Description,Spec,Dimensions,Finish
,Schedule\MWR\Lagerstroemia indica.jpg,Vegetation,Tree,Pink,4000/3000,Lagerstroemia Indica,紫薇,
,Schedule\MWR\Lavandula angustifolia.jpg,Vegetation,Flower,Purple,250,Lavandula Angustifolia,百日紅,
,Schedule\MWR\Lespedeza thunbergia.jpg,Vegetation,Plant,Pink,300,Lespedeza Thunbergia,薰衣草,
,Schedule\MWR\Leucophyllum Frutescens.jpg,Vegetation,Plant,Purple,1000,Leucophyllum Frutescens,紅花玉芙蓉,
,Schedule\MWR\Ligustrum sinensis Variegata.jpg,Vegetation,Plant,,600,Ligustrum Sinensis Variegata,小蠟樹,
,Schedule\MWR\Liquidambar formosana.jpg,Vegetation,Tree,Orange;Yellow,6000,Liquidambar Formosana,楓香,
,Schedule\MWR\Liriope spicata variegata.jpg,Vegetation,Grass,Purple,100,Liriope Spicata Variegata,山麥冬,
,Schedule\MWR\Liriope spicata variegata.jpg,Vegetation,Grass,Purple,S180 H180,Liriope Spicata Variegata,山麥冬,
,Schedule\MWR\Liriope spicata.jpg,Vegetation,Grass,Purple,100,Liriope Spicata,山麥冬,
,Schedule\MWR\Lonicera japonica.jpg,Vegetation,Creeper,Yellow,1750,Lonicera Japonica,金銀花,
,Schedule\MWR\Machilus breviflora.jpeg,Vegetation,Tree,,4000/3000,Machilus Breviflora,短序潤楠,
,Schedule\MWR\Matteuccia struthiopteris.jpg,Vegetation,Plant,Fern,400,Matteuccia Struthiopteris,莢果蕨,
,Schedule\MWR\Melaleuca bracteate.jpg,Vegetation,Plant,Yellow,1800,Melaleuca Bracteate,千層金,
,Schedule\MWR\Michelia figo.jpg,Vegetation,Plant,,1750,Michelia Figo,含笑, 
,Schedule\MWR\Miscanthus sinensis 'gracillimus’.jpg,Vegetation,Grass,,600,Miscanthus Sinensis 'Gracillimus’,中國芒,Ornamental
,Schedule\MWR\Miscanthus sinensis variegatus.jpg,Vegetation,Grass,,600,Miscanthus Sinensis Variegatus,花葉芒,Ornamental
,Schedule\MWR\monstera deliciosa.jpg,Vegetation,Plant,BigLeaf,600,Monstera Deliciosa,龜背竹, 
,Schedule\MWR\Muhlenbergia capillaris.jpg,Vegetation,Plant,,600,Muhlenbergia Capillaris,粉黛亂子草,
,Schedule\MWR\Murraya Paniculata  九里香.jpg,Vegetation,Plant,,S180 H180,Murraya Paniculata,九里香,
,Schedule\MWR\Nassella tenuissima.jpg,Vegetation,Plant,,600,Nassella Tenuissima,墨西哥羽毛草,Ornamental
,Schedule\MWR\Nelumbo sp.jpg,Vegetation,Flower,White,400,Nelumbo Nucifera,荷花,Aquatic
,Schedule\MWR\Nephrolepis Exaltat Var. Bostoniensis 波士頓蕨.jpg,Vegetation,Plant,,S180 H180,Nephrolepis Exaltat Var. Bostoniensis,波士頓蕨,Fern
